"","date","targetTeam","rank"
"74",2014-12-20,"Anaheim Ducks",1
"75",2014-12-21,"Anaheim Ducks",1
"76",2014-12-22,"Anaheim Ducks",1
"77",2014-12-23,"Anaheim Ducks",1
"78",2014-12-27,"Anaheim Ducks",1
"79",2014-12-28,"Anaheim Ducks",1
"80",2014-12-29,"Anaheim Ducks",1
"81",2014-12-30,"Anaheim Ducks",1
"82",2014-12-31,"Anaheim Ducks",1
"83",2015-01-01,"Anaheim Ducks",1
"84",2015-01-02,"Anaheim Ducks",1
"85",2015-01-03,"Anaheim Ducks",1
"86",2015-01-04,"Anaheim Ducks",1
"87",2015-01-05,"Anaheim Ducks",1
"88",2015-01-06,"Anaheim Ducks",1
"89",2015-01-07,"Anaheim Ducks",1
"90",2015-01-08,"Anaheim Ducks",1
"91",2015-01-09,"Anaheim Ducks",1
"92",2015-01-10,"Anaheim Ducks",1
"93",2015-01-11,"Anaheim Ducks",2
"94",2015-01-12,"Anaheim Ducks",1
"95",2015-01-13,"Anaheim Ducks",1
"96",2015-01-14,"Anaheim Ducks",2
"97",2015-01-15,"Anaheim Ducks",1
"98",2015-01-16,"Anaheim Ducks",1
"99",2015-01-17,"Anaheim Ducks",1
"100",2015-01-18,"Anaheim Ducks",1
"101",2015-01-19,"Anaheim Ducks",1
"102",2015-01-20,"Anaheim Ducks",1
"103",2015-01-21,"Anaheim Ducks",1
"104",2015-01-27,"Anaheim Ducks",1
"105",2015-01-28,"Anaheim Ducks",1
"106",2015-01-29,"Anaheim Ducks",1
"107",2015-01-30,"Anaheim Ducks",1
"108",2015-01-31,"Anaheim Ducks",1
"109",2015-02-01,"Anaheim Ducks",1
"110",2015-02-02,"Anaheim Ducks",1
"111",2015-02-03,"Anaheim Ducks",1
"112",2015-02-04,"Anaheim Ducks",1
"113",2015-02-05,"Anaheim Ducks",1
"114",2015-02-06,"Anaheim Ducks",1
"115",2015-02-07,"Anaheim Ducks",1
"116",2015-02-08,"Anaheim Ducks",1
"117",2015-02-09,"Anaheim Ducks",2
"118",2015-02-10,"Anaheim Ducks",2
"119",2015-02-11,"Anaheim Ducks",2
"120",2015-02-12,"Anaheim Ducks",2
"121",2015-02-13,"Anaheim Ducks",2
"122",2015-02-14,"Anaheim Ducks",2
"123",2015-02-15,"Anaheim Ducks",2
"124",2015-02-16,"Anaheim Ducks",3
"125",2015-02-17,"Anaheim Ducks",4
"126",2015-02-18,"Anaheim Ducks",4
"127",2015-02-19,"Anaheim Ducks",5
"128",2015-02-20,"Anaheim Ducks",6
"129",2015-02-21,"Anaheim Ducks",3
"130",2015-02-22,"Anaheim Ducks",2
"131",2015-02-23,"Anaheim Ducks",2
"132",2015-02-24,"Anaheim Ducks",2
"133",2015-02-25,"Anaheim Ducks",2
"134",2015-02-26,"Anaheim Ducks",2
"135",2015-02-27,"Anaheim Ducks",3
"136",2015-02-28,"Anaheim Ducks",2
"137",2015-03-01,"Anaheim Ducks",3
"138",2015-03-02,"Anaheim Ducks",2
"139",2015-03-03,"Anaheim Ducks",2
"140",2015-03-04,"Anaheim Ducks",1
"141",2015-03-05,"Anaheim Ducks",1
"142",2015-03-06,"Anaheim Ducks",1
"143",2015-03-07,"Anaheim Ducks",1
"144",2015-03-08,"Anaheim Ducks",1
"145",2015-03-09,"Anaheim Ducks",1
"146",2015-03-10,"Anaheim Ducks",1
"147",2015-03-11,"Anaheim Ducks",1
"148",2015-03-12,"Anaheim Ducks",1
"149",2015-03-13,"Anaheim Ducks",1
"150",2015-03-14,"Anaheim Ducks",1
"151",2015-03-15,"Anaheim Ducks",1
"152",2015-03-16,"Anaheim Ducks",1
"153",2015-03-17,"Anaheim Ducks",1
"154",2015-03-18,"Anaheim Ducks",1
"155",2015-03-19,"Anaheim Ducks",1
"156",2015-03-20,"Anaheim Ducks",1
"157",2015-03-21,"Anaheim Ducks",1
"158",2015-03-22,"Anaheim Ducks",1
"159",2015-03-23,"Anaheim Ducks",1
"160",2015-03-24,"Anaheim Ducks",1
"161",2015-03-25,"Anaheim Ducks",2
"162",2015-03-26,"Anaheim Ducks",2
"163",2015-03-27,"Anaheim Ducks",1
"164",2015-03-28,"Anaheim Ducks",1
"165",2015-03-29,"Anaheim Ducks",1
"166",2015-03-30,"Anaheim Ducks",1
"167",2015-03-31,"Anaheim Ducks",1
"168",2015-04-01,"Anaheim Ducks",1
"169",2015-04-02,"Anaheim Ducks",1
"170",2015-04-03,"Anaheim Ducks",1
"171",2015-04-04,"Anaheim Ducks",1
"172",2015-04-05,"Anaheim Ducks",1
"173",2015-04-06,"Anaheim Ducks",1
"174",2015-04-07,"Anaheim Ducks",2
"175",2015-04-08,"Anaheim Ducks",2
"176",2015-04-09,"Anaheim Ducks",2
"177",2015-04-10,"Anaheim Ducks",3
"178",2015-04-11,"Anaheim Ducks",3
"179",2015-10-07,"Anaheim Ducks",0
"180",2015-10-08,"Anaheim Ducks",5
"181",2015-10-09,"Anaheim Ducks",13
"182",2015-10-10,"Anaheim Ducks",17
"183",2015-10-11,"Anaheim Ducks",22
"184",2015-10-12,"Anaheim Ducks",22
"185",2015-10-13,"Anaheim Ducks",22
"186",2015-10-14,"Anaheim Ducks",22
"187",2015-10-15,"Anaheim Ducks",23
"188",2015-10-16,"Anaheim Ducks",24
"189",2015-10-17,"Anaheim Ducks",27
"190",2015-10-18,"Anaheim Ducks",28
"191",2015-10-19,"Anaheim Ducks",24
"192",2015-10-20,"Anaheim Ducks",24
"193",2015-10-21,"Anaheim Ducks",25
"194",2015-10-22,"Anaheim Ducks",28
"195",2015-10-23,"Anaheim Ducks",28
"196",2015-10-24,"Anaheim Ducks",29
"197",2015-10-25,"Anaheim Ducks",29
"198",2015-10-26,"Anaheim Ducks",29
"199",2015-10-27,"Anaheim Ducks",25
"200",2015-10-28,"Anaheim Ducks",27
"201",2015-10-29,"Anaheim Ducks",28
"202",2015-10-30,"Anaheim Ducks",28
"203",2015-10-31,"Anaheim Ducks",28
"204",2015-11-01,"Anaheim Ducks",28
"205",2015-11-02,"Anaheim Ducks",28
"206",2015-11-03,"Anaheim Ducks",28
"207",2015-11-04,"Anaheim Ducks",28
"208",2015-11-05,"Anaheim Ducks",27
"209",2015-11-06,"Anaheim Ducks",28
"210",2015-11-07,"Anaheim Ducks",23
"211",2015-11-08,"Anaheim Ducks",23
"212",2015-11-09,"Anaheim Ducks",23
"213",2015-11-10,"Anaheim Ducks",21
"214",2015-11-11,"Anaheim Ducks",23
"215",2015-11-12,"Anaheim Ducks",21
"216",2015-11-13,"Anaheim Ducks",22
"217",2015-11-14,"Anaheim Ducks",23
"218",2015-11-15,"Anaheim Ducks",25
"219",2015-11-16,"Anaheim Ducks",25
"220",2015-11-17,"Anaheim Ducks",23
"221",2015-11-18,"Anaheim Ducks",23
"222",2015-11-19,"Anaheim Ducks",23
"223",2015-11-20,"Anaheim Ducks",22
"224",2015-11-21,"Anaheim Ducks",22
"225",2015-11-22,"Anaheim Ducks",22
"226",2015-11-23,"Anaheim Ducks",22
"227",2015-11-24,"Anaheim Ducks",24
"228",2015-11-25,"Anaheim Ducks",21
"229",2015-11-27,"Anaheim Ducks",21
"230",2015-11-28,"Anaheim Ducks",22
"231",2015-11-29,"Anaheim Ducks",24
"232",2015-11-30,"Anaheim Ducks",24
"233",2015-12-01,"Anaheim Ducks",22
"234",2015-12-02,"Anaheim Ducks",23
"235",2015-12-03,"Anaheim Ducks",23
"236",2015-12-04,"Anaheim Ducks",23
"237",2015-12-05,"Anaheim Ducks",23
"238",2015-12-06,"Anaheim Ducks",23
"239",2015-12-07,"Anaheim Ducks",20
"240",2015-12-08,"Anaheim Ducks",21
"241",2015-12-09,"Anaheim Ducks",22
"242",2015-12-10,"Anaheim Ducks",22
"243",2015-12-11,"Anaheim Ducks",22
"244",2015-12-12,"Anaheim Ducks",24
"245",2015-12-13,"Anaheim Ducks",26
"246",2015-12-14,"Anaheim Ducks",27
"247",2015-12-15,"Anaheim Ducks",28
"248",2015-12-16,"Anaheim Ducks",28
"249",2015-12-17,"Anaheim Ducks",28
"250",2015-12-18,"Anaheim Ducks",28
"251",2015-12-19,"Anaheim Ducks",28
"252",2015-12-20,"Anaheim Ducks",28
"253",2015-12-21,"Anaheim Ducks",28
"254",2015-12-22,"Anaheim Ducks",29
"255",2015-12-26,"Anaheim Ducks",29
"256",2015-12-27,"Anaheim Ducks",29
"257",2015-12-28,"Anaheim Ducks",29
"258",2015-12-29,"Anaheim Ducks",29
"259",2015-12-30,"Anaheim Ducks",26
"260",2015-12-31,"Anaheim Ducks",27
"261",2016-01-01,"Anaheim Ducks",24
"262",2016-01-02,"Anaheim Ducks",22
"263",2016-01-03,"Anaheim Ducks",25
"264",2016-01-04,"Anaheim Ducks",19
"265",2016-01-05,"Anaheim Ducks",20
"266",2016-01-06,"Anaheim Ducks",22
"267",2016-01-07,"Anaheim Ducks",23
"268",2016-01-08,"Anaheim Ducks",24
"269",2016-01-09,"Anaheim Ducks",20
"270",2016-01-10,"Anaheim Ducks",23
"271",2016-01-11,"Anaheim Ducks",23
"272",2016-01-12,"Anaheim Ducks",24
"273",2016-01-13,"Anaheim Ducks",24
"274",2016-01-14,"Anaheim Ducks",24
"275",2016-01-15,"Anaheim Ducks",24
"276",2016-01-16,"Anaheim Ducks",23
"277",2016-01-17,"Anaheim Ducks",24
"278",2016-01-18,"Anaheim Ducks",24
"279",2016-01-19,"Anaheim Ducks",24
"280",2016-01-20,"Anaheim Ducks",24
"281",2016-01-21,"Anaheim Ducks",24
"282",2016-01-22,"Anaheim Ducks",24
"283",2016-01-23,"Anaheim Ducks",24
"284",2016-01-24,"Anaheim Ducks",23
"285",2016-01-25,"Anaheim Ducks",23
"286",2016-01-26,"Anaheim Ducks",23
"287",2016-01-27,"Anaheim Ducks",22
"288",2016-02-02,"Anaheim Ducks",22
"289",2016-02-03,"Anaheim Ducks",19
"290",2016-02-04,"Anaheim Ducks",19
"291",2016-02-05,"Anaheim Ducks",17
"292",2016-02-06,"Anaheim Ducks",15
"293",2016-02-07,"Anaheim Ducks",17
"294",2016-02-08,"Anaheim Ducks",17
"295",2016-02-09,"Anaheim Ducks",17
"296",2016-02-10,"Anaheim Ducks",15
"297",2016-02-11,"Anaheim Ducks",15
"298",2016-02-12,"Anaheim Ducks",15
"299",2016-02-13,"Anaheim Ducks",16
"300",2016-02-14,"Anaheim Ducks",15
"301",2016-02-15,"Anaheim Ducks",15
"302",2016-02-16,"Anaheim Ducks",12
"303",2016-02-17,"Anaheim Ducks",10
"304",2016-02-18,"Anaheim Ducks",10
"305",2016-02-19,"Anaheim Ducks",8
"306",2016-02-20,"Anaheim Ducks",9
"307",2016-02-21,"Anaheim Ducks",10
"308",2016-02-22,"Anaheim Ducks",8
"309",2016-02-23,"Anaheim Ducks",8
"310",2016-02-24,"Anaheim Ducks",11
"311",2016-02-25,"Anaheim Ducks",8
"312",2016-02-26,"Anaheim Ducks",9
"313",2016-02-27,"Anaheim Ducks",8
"314",2016-02-28,"Anaheim Ducks",8
"315",2016-02-29,"Anaheim Ducks",8
"316",2016-03-01,"Anaheim Ducks",9
"317",2016-03-02,"Anaheim Ducks",9
"318",2016-03-03,"Anaheim Ducks",7
"319",2016-03-04,"Anaheim Ducks",5
"320",2016-03-05,"Anaheim Ducks",6
"321",2016-03-06,"Anaheim Ducks",5
"322",2016-03-07,"Anaheim Ducks",5
"323",2016-03-08,"Anaheim Ducks",5
"324",2016-03-09,"Anaheim Ducks",6
"325",2016-03-10,"Anaheim Ducks",7
"326",2016-03-11,"Anaheim Ducks",8
"327",2016-03-12,"Anaheim Ducks",8
"328",2016-03-13,"Anaheim Ducks",9
"329",2016-03-14,"Anaheim Ducks",10
"330",2016-03-15,"Anaheim Ducks",7
"331",2016-03-16,"Anaheim Ducks",8
"332",2016-03-17,"Anaheim Ducks",9
"333",2016-03-18,"Anaheim Ducks",9
"334",2016-03-19,"Anaheim Ducks",8
"335",2016-03-20,"Anaheim Ducks",8
"336",2016-03-21,"Anaheim Ducks",6
"337",2016-03-22,"Anaheim Ducks",7
"338",2016-03-23,"Anaheim Ducks",7
"339",2016-03-24,"Anaheim Ducks",7
"340",2016-03-25,"Anaheim Ducks",8
"341",2016-03-26,"Anaheim Ducks",9
"342",2016-03-27,"Anaheim Ducks",8
"343",2016-03-28,"Anaheim Ducks",8
"344",2016-03-29,"Anaheim Ducks",7
"345",2016-03-30,"Anaheim Ducks",7
"346",2016-03-31,"Anaheim Ducks",4
"347",2016-04-01,"Anaheim Ducks",5
"348",2016-04-02,"Anaheim Ducks",6
"349",2016-04-03,"Anaheim Ducks",8
"350",2016-04-04,"Anaheim Ducks",6
"351",2016-04-05,"Anaheim Ducks",7
"352",2016-04-06,"Anaheim Ducks",7
"353",2016-04-07,"Anaheim Ducks",7
"354",2016-04-08,"Anaheim Ducks",8
"355",2016-04-09,"Anaheim Ducks",8
"356",2016-04-10,"Anaheim Ducks",8
"357",2016-10-12,"Anaheim Ducks",0
"358",2016-10-13,"Anaheim Ducks",6
"359",2016-10-14,"Anaheim Ducks",17
"360",2016-10-15,"Anaheim Ducks",19
"361",2016-10-16,"Anaheim Ducks",25
"362",2016-10-17,"Anaheim Ducks",25
"363",2016-10-18,"Anaheim Ducks",26
"364",2016-10-19,"Anaheim Ducks",28
"365",2016-10-20,"Anaheim Ducks",28
"366",2016-10-21,"Anaheim Ducks",21
"367",2016-10-22,"Anaheim Ducks",22
"368",2016-10-23,"Anaheim Ducks",27
"369",2016-10-24,"Anaheim Ducks",18
"370",2016-10-25,"Anaheim Ducks",18
"371",2016-10-26,"Anaheim Ducks",19
"372",2016-10-27,"Anaheim Ducks",10
"373",2016-10-28,"Anaheim Ducks",11
"374",2016-10-29,"Anaheim Ducks",13
"375",2016-10-30,"Anaheim Ducks",15
"376",2016-11-01,"Anaheim Ducks",18
"377",2016-11-02,"Anaheim Ducks",13
"378",2016-11-03,"Anaheim Ducks",14
"379",2016-11-04,"Anaheim Ducks",19
"380",2016-11-05,"Anaheim Ducks",12
"381",2016-11-06,"Anaheim Ducks",14
"382",2016-11-07,"Anaheim Ducks",9
"383",2016-11-08,"Anaheim Ducks",9
"384",2016-11-09,"Anaheim Ducks",11
"385",2016-11-10,"Anaheim Ducks",9
"386",2016-11-11,"Anaheim Ducks",6
"387",2016-11-12,"Anaheim Ducks",8
"388",2016-11-13,"Anaheim Ducks",11
"389",2016-11-14,"Anaheim Ducks",12
"390",2016-11-15,"Anaheim Ducks",13
"391",2016-11-16,"Anaheim Ducks",11
"392",2016-11-17,"Anaheim Ducks",11
"393",2016-11-18,"Anaheim Ducks",7
"394",2016-11-19,"Anaheim Ducks",7
"395",2016-11-20,"Anaheim Ducks",9
"396",2016-11-21,"Anaheim Ducks",10
"397",2016-11-22,"Anaheim Ducks",11
"398",2016-11-23,"Anaheim Ducks",11
"399",2016-11-24,"Anaheim Ducks",14
"400",2016-11-25,"Anaheim Ducks",14
"401",2016-11-26,"Anaheim Ducks",17
"402",2016-11-27,"Anaheim Ducks",15
"403",2016-11-28,"Anaheim Ducks",15
"404",2016-11-29,"Anaheim Ducks",15
"405",2016-11-30,"Anaheim Ducks",11
"406",2016-12-01,"Anaheim Ducks",11
"407",2016-12-02,"Anaheim Ducks",9
"408",2016-12-03,"Anaheim Ducks",9
"409",2016-12-04,"Anaheim Ducks",10
"410",2016-12-05,"Anaheim Ducks",12
"411",2016-12-06,"Anaheim Ducks",14
"412",2016-12-07,"Anaheim Ducks",16
"413",2016-12-08,"Anaheim Ducks",12
"414",2016-12-09,"Anaheim Ducks",13
"415",2016-12-10,"Anaheim Ducks",10
"416",2016-12-11,"Anaheim Ducks",11
"417",2016-12-12,"Anaheim Ducks",9
"418",2016-12-13,"Anaheim Ducks",9
"419",2016-12-14,"Anaheim Ducks",10
"420",2016-12-15,"Anaheim Ducks",11
"421",2016-12-16,"Anaheim Ducks",10
"422",2016-12-17,"Anaheim Ducks",11
"423",2016-12-18,"Anaheim Ducks",11
"424",2016-12-19,"Anaheim Ducks",12
"425",2016-12-20,"Anaheim Ducks",9
"426",2016-12-21,"Anaheim Ducks",12
"427",2016-12-22,"Anaheim Ducks",13
"428",2016-12-23,"Anaheim Ducks",13
"429",2016-12-27,"Anaheim Ducks",13
"430",2016-12-28,"Anaheim Ducks",12
"431",2016-12-29,"Anaheim Ducks",13
"432",2016-12-30,"Anaheim Ducks",12
"433",2016-12-31,"Anaheim Ducks",9
"434",2017-01-01,"Anaheim Ducks",10
"435",2017-01-02,"Anaheim Ducks",9
"436",2017-01-03,"Anaheim Ducks",9
"437",2017-01-04,"Anaheim Ducks",9
"438",2017-01-05,"Anaheim Ducks",8
"439",2017-01-06,"Anaheim Ducks",8
"440",2017-01-07,"Anaheim Ducks",8
"441",2017-01-08,"Anaheim Ducks",8
"442",2017-01-09,"Anaheim Ducks",8
"443",2017-01-10,"Anaheim Ducks",8
"444",2017-01-11,"Anaheim Ducks",8
"445",2017-01-12,"Anaheim Ducks",8
"446",2017-01-13,"Anaheim Ducks",8
"447",2017-01-14,"Anaheim Ducks",8
"448",2017-01-15,"Anaheim Ducks",8
"449",2017-01-16,"Anaheim Ducks",6
"450",2017-01-17,"Anaheim Ducks",7
"451",2017-01-18,"Anaheim Ducks",6
"452",2017-01-19,"Anaheim Ducks",7
"453",2017-01-20,"Anaheim Ducks",4
"454",2017-01-21,"Anaheim Ducks",7
"455",2017-01-22,"Anaheim Ducks",7
"456",2017-01-23,"Anaheim Ducks",7
"457",2017-01-24,"Anaheim Ducks",6
"458",2017-01-25,"Anaheim Ducks",8
"459",2017-01-26,"Anaheim Ducks",8
"460",2017-01-31,"Anaheim Ducks",9
"461",2017-02-01,"Anaheim Ducks",7
"462",2017-02-02,"Anaheim Ducks",7
"463",2017-02-03,"Anaheim Ducks",8
"464",2017-02-04,"Anaheim Ducks",8
"465",2017-02-05,"Anaheim Ducks",8
"466",2017-02-06,"Anaheim Ducks",9
"467",2017-02-07,"Anaheim Ducks",9
"468",2017-02-08,"Anaheim Ducks",9
"469",2017-02-09,"Anaheim Ducks",9
"470",2017-02-10,"Anaheim Ducks",9
"471",2017-02-11,"Anaheim Ducks",9
"472",2017-02-12,"Anaheim Ducks",9
"473",2017-02-13,"Anaheim Ducks",9
"474",2017-02-14,"Anaheim Ducks",9
"475",2017-02-15,"Anaheim Ducks",8
"476",2017-02-16,"Anaheim Ducks",8
"477",2017-02-17,"Anaheim Ducks",8
"478",2017-02-18,"Anaheim Ducks",8
"479",2017-02-19,"Anaheim Ducks",9
"480",2017-02-20,"Anaheim Ducks",8
"481",2017-02-21,"Anaheim Ducks",8
"482",2017-02-22,"Anaheim Ducks",8
"483",2017-02-23,"Anaheim Ducks",8
"484",2017-02-24,"Anaheim Ducks",8
"485",2017-02-25,"Anaheim Ducks",8
"486",2017-02-26,"Anaheim Ducks",8
"487",2017-02-27,"Anaheim Ducks",8
"488",2017-02-28,"Anaheim Ducks",9
"489",2017-03-01,"Anaheim Ducks",10
"490",2017-03-02,"Anaheim Ducks",10
"491",2017-03-03,"Anaheim Ducks",10
"492",2017-03-04,"Anaheim Ducks",9
"493",2017-03-05,"Anaheim Ducks",10
"494",2017-03-06,"Anaheim Ducks",10
"495",2017-03-07,"Anaheim Ducks",11
"496",2017-03-08,"Anaheim Ducks",9
"497",2017-03-09,"Anaheim Ducks",10
"498",2017-03-10,"Anaheim Ducks",10
"499",2017-03-11,"Anaheim Ducks",10
"500",2017-03-12,"Anaheim Ducks",10
"501",2017-03-13,"Anaheim Ducks",10
"502",2017-03-14,"Anaheim Ducks",10
"503",2017-03-15,"Anaheim Ducks",10
"504",2017-03-16,"Anaheim Ducks",10
"505",2017-03-17,"Anaheim Ducks",10
"506",2017-03-18,"Anaheim Ducks",9
"507",2017-03-19,"Anaheim Ducks",9
"508",2017-03-20,"Anaheim Ducks",9
"509",2017-03-21,"Anaheim Ducks",9
"510",2017-03-22,"Anaheim Ducks",10
"511",2017-03-23,"Anaheim Ducks",9
"512",2017-03-24,"Anaheim Ducks",10
"513",2017-03-25,"Anaheim Ducks",7
"514",2017-03-26,"Anaheim Ducks",8
"515",2017-03-27,"Anaheim Ducks",7
"516",2017-03-28,"Anaheim Ducks",7
"517",2017-03-29,"Anaheim Ducks",7
"518",2017-03-30,"Anaheim Ducks",7
"519",2017-03-31,"Anaheim Ducks",8
"520",2017-04-01,"Anaheim Ducks",8
"521",2017-04-02,"Anaheim Ducks",8
"522",2017-04-03,"Anaheim Ducks",7
"523",2017-04-04,"Anaheim Ducks",8
"524",2017-04-05,"Anaheim Ducks",6
"525",2017-04-06,"Anaheim Ducks",6
"526",2017-04-07,"Anaheim Ducks",6
"527",2017-04-08,"Anaheim Ducks",6
"528",2017-04-09,"Anaheim Ducks",6
"529",2017-10-04,"Anaheim Ducks",0
"530",2017-10-05,"Anaheim Ducks",6
"531",2017-10-06,"Anaheim Ducks",1
"532",2017-10-07,"Anaheim Ducks",1
"533",2017-10-08,"Anaheim Ducks",9
"534",2017-10-09,"Anaheim Ducks",9
"535",2017-10-10,"Anaheim Ducks",13
"536",2017-10-11,"Anaheim Ducks",15
"537",2017-10-12,"Anaheim Ducks",8
"538",2017-10-13,"Anaheim Ducks",10
"539",2017-10-14,"Anaheim Ducks",13
"540",2017-10-15,"Anaheim Ducks",17
"541",2017-10-16,"Anaheim Ducks",17
"542",2017-10-17,"Anaheim Ducks",17
"543",2017-10-18,"Anaheim Ducks",19
"544",2017-10-19,"Anaheim Ducks",19
"545",2017-10-20,"Anaheim Ducks",22
"546",2017-10-21,"Anaheim Ducks",19
"547",2017-10-22,"Anaheim Ducks",20
"548",2017-10-23,"Anaheim Ducks",21
"549",2017-10-24,"Anaheim Ducks",22
"550",2017-10-25,"Anaheim Ducks",18
"551",2017-10-26,"Anaheim Ducks",18
"552",2017-10-27,"Anaheim Ducks",18
"553",2017-10-28,"Anaheim Ducks",19
"554",2017-10-29,"Anaheim Ducks",17
"555",2017-10-30,"Anaheim Ducks",10
"556",2017-10-31,"Anaheim Ducks",13
"557",2017-11-01,"Anaheim Ducks",14
"558",2017-11-02,"Anaheim Ducks",16
"559",2017-11-03,"Anaheim Ducks",19
"560",2017-11-04,"Anaheim Ducks",20
"561",2017-11-05,"Anaheim Ducks",20
"562",2017-11-06,"Anaheim Ducks",22
"563",2017-11-07,"Anaheim Ducks",24
"564",2017-11-08,"Anaheim Ducks",23
"565",2017-11-09,"Anaheim Ducks",23
"566",2017-11-10,"Anaheim Ducks",16
"567",2017-11-11,"Anaheim Ducks",19
"568",2017-11-12,"Anaheim Ducks",22
"569",2017-11-13,"Anaheim Ducks",22
"570",2017-11-14,"Anaheim Ducks",23
"571",2017-11-15,"Anaheim Ducks",25
"572",2017-11-16,"Anaheim Ducks",20
"573",2017-11-17,"Anaheim Ducks",21
"574",2017-11-18,"Anaheim Ducks",21
"575",2017-11-19,"Anaheim Ducks",25
"576",2017-11-20,"Anaheim Ducks",19
"577",2017-11-21,"Anaheim Ducks",13
"578",2017-11-22,"Anaheim Ducks",13
"579",2017-11-24,"Anaheim Ducks",16
"580",2017-11-25,"Anaheim Ducks",22
"581",2017-11-26,"Anaheim Ducks",21
"582",2017-11-27,"Anaheim Ducks",21
"583",2017-11-28,"Anaheim Ducks",21
"584",2017-11-29,"Anaheim Ducks",22
"585",2017-11-30,"Anaheim Ducks",18
"586",2017-12-01,"Anaheim Ducks",21
"587",2017-12-02,"Anaheim Ducks",21
"588",2017-12-03,"Anaheim Ducks",22
"589",2017-12-04,"Anaheim Ducks",22
"590",2017-12-05,"Anaheim Ducks",22
"591",2017-12-06,"Anaheim Ducks",21
"592",2017-12-07,"Anaheim Ducks",16
"593",2017-12-08,"Anaheim Ducks",18
"594",2017-12-09,"Anaheim Ducks",18
"595",2017-12-10,"Anaheim Ducks",19
"596",2017-12-11,"Anaheim Ducks",21
"597",2017-12-12,"Anaheim Ducks",17
"598",2017-12-13,"Anaheim Ducks",19
"599",2017-12-14,"Anaheim Ducks",20
"600",2017-12-15,"Anaheim Ducks",16
"601",2017-12-16,"Anaheim Ducks",17
"602",2017-12-17,"Anaheim Ducks",18
"603",2017-12-18,"Anaheim Ducks",19
"604",2017-12-19,"Anaheim Ducks",20
"605",2017-12-20,"Anaheim Ducks",20
"606",2017-12-21,"Anaheim Ducks",21
"607",2017-12-22,"Anaheim Ducks",20
